cust_id,name,city,height,income
1,Kathern Soroka,Donaldo City,6ft 0in,$50k-$100k
2,Syble Stice,Donaldo City,5ft 11in,under $50k
3,Rocio Ar,Donaldo City,6ft 0in,under $50k
4,Numbers Mcgranahan,Donaldo City,5ft 2in,$50k-$100k
5,Hazel Reinhart,Normantown,6ft 4in,under $50k
6,Odette Steimle,Normantown,5ft 9in,under $50k
7,Chastity Lechler,Donaldo City,6ft 0in,$100k-$150k
8,Dudley Harritt,Normantown,6ft 1in,over $150k
9,Rueben Tennent,Donaldo City,5ft 10in,$50k-$100k
10,Laurence Deshler,Donaldo City,5ft 7in,over $150k
11,Lily Reckart,Donaldo City,5ft 4in,under $50k
12,John Smith,Donaldo City,6ft 0in,$50k-$100k
13,Kelle Hayball,Normantown,6ft 0in,$100k-$150k
14,Freddy Bey,Donaldo City,5ft 9in,under $50k
15,Salena Langolf,Normantown,5ft 10in,$100k-$150k
16,Antony Hynum,Donaldo City,5ft 11in,under $50k
17,Latoria Gradford,Normantown,6ft 5in,$50k-$100k
18,Shanon Babbish,Normantown,6ft 0in,$100k-$150k
19,Kaitlin Chaidez,Donaldo City,6ft 0in,under $50k
20,Oralee Bailey,Normantown,6ft 4in,$50k-$100k
21,Rachell Deramo,Donaldo City,6ft 1in,under $50k
22,Lurlene Rauls,Donaldo City,6ft 0in,under $50k
23,Kena Bartkowski,Normantown,5ft 7in,$50k-$100k
24,Latoyia Cashdollar,Normantown,5ft 11in,$100k-$150k
25,Reyna Vancura,Donaldo City,6ft 0in,$100k-$150k
26,Alda Kwek,Normantown,5ft 10in,$50k-$100k
27,Asuncion Vranek,Normantown,5ft 3in,$100k-$150k
28,Bebe Manha,Normantown,5ft 9in,$100k-$150k
29,Vernie Stiff,Donaldo City,6ft 0in,$100k-$150k
30,Violette Coverdale,Normantown,5ft 6in,under $50k
31,Marin Mcfadden,Normantown,6ft 2in,over $150k
32,Willodean Seres,Donaldo City,6ft 0in,$100k-$150k
33,Elma Buzzelli,Donaldo City,5ft 11in,$100k-$150k
34,Moriah Badilla,Normantown,6ft 4in,under $50k
35,Niesha Verela,Donaldo City,5ft 8in,$100k-$150k
36,Blair Ayola,Normantown,5ft 11in,$50k-$100k
37,Emery Arroyano,Normantown,5ft 11in,over $150k
38,Sabina Prati,Donaldo City,6ft 0in,under $50k
39,Jim Suby,Donaldo City,5ft 9in,under $50k
40,Benton Stubson,Normantown,5ft 11in,$100k-$150k
41,Miss Noblitt,Donaldo City,6ft 0in,$100k-$150k
42,Zana Kohnke,Donaldo City,6ft 0in,under $50k
43,Dannie Flitt,Donaldo City,5ft 5in,over $150k
44,Sina Corio,Donaldo City,5ft 1in,$50k-$100k
45,Lamar Peer,Donaldo City,5ft 9in,$50k-$100k
46,Corie Mccardle,Normantown,5ft 11in,$50k-$100k
47,Mervin Gildow,Normantown,5ft 4in,$100k-$150k
48,Gilda Bodyfelt,Donaldo City,6ft 0in,$100k-$150k
49,Blake Sosaya,Donaldo City,5ft 10in,$100k-$150k
50,Tomas Salvi,Normantown,5ft 9in,$100k-$150k
51,Jesusa Bachtold,Donaldo City,6ft 0in,$100k-$150k
52,Leonor Bline,Normantown,6ft 3in,$50k-$100k
53,Troy Cuffman,Donaldo City,5ft 7in,$50k-$100k
54,Caridad Leys,Normantown,5ft 8in,$100k-$150k
